-----RADER:----- 
rad 1:	Bilden som kommunikationsmedel 
rad 2:	Den svenska infrastrukturen i historis… 
rad 3:	Dieselmotorns utveckling 
rad 4:	Flygteknik 
rad 5:	Ljud och vibrationer 
rad 6:	Lättkonstruktioner 
rad 7:	Marina system 
rad 8:	Projektplanering och grupparbete 
rad 9:	Sprickors inverkan på konstruktioners 
rad 10:	Strömningsmekanik 
rad 11:	Systemteknik och köteori 
rad 12:	Transporter och miljön 
rad 13:	Tåg och spårtrafiksystem 
rad 14:	Vetenskap och ovetenskap 
rad 15:	Vägfordonsdynamik 
rad 16:	Vägfordonsteknik 


---KOLONNER:--- 
kol 1:	 0 
kol 2:	 000 
kol 3:	 0000 
kol 4:	 000kg 
kol 5:	 0015 
kol 6:	 002 
kol 7:	 003 
kol 8:	 004 
kol 9:	 005 
kol 10:	 005120 
kol 11:	 0055 
kol 12:	 006 
kol 13:	 007 
kol 14:	 008 
kol 15:	 01 
kol 16:	 010 
kol 17:	 012 
kol 18:	 012015 
kol 19:	 013 
kol 20:	 015 
kol 21:	 017 
kol 22:	 019 
kol 23:	 02 
kol 24:	 020 
kol 25:	 020024 
kol 26:	 020026 
kol 27:	 025 
kol 28:	 0287 
kol 29:	 03 
kol 30:	 030 
kol 31:	 032 
kol 32:	 035 
kol 33:	 039 
kol 34:	 04 
kol 35:	 042 
kol 36:	 044 
kol 37:	 045 
kol 38:	 04fn09 
kol 39:	 05 
kol 40:	 052 
kol 41:	 06 
kol 42:	 060 
kol 43:	 065 
kol 44:	 07 
kol 45:	 070 
kol 46:	 075 
kol 47:	 08 
kol 48:	 09 
kol 49:	 090 
kol 50:	 1 
kol 51:	 10 
kol 52:	 100 
kol 53:	 1000 
kol 54:	 10000 
kol 55:	 100000 
kol 56:	 101 
kol 57:	 1010 
kol 58:	 1011 
kol 59:	 1012 
kol 60:	 1013 
kol 61:	 1014 
kol 62:	 1015 
kol 63:	 1016 
kol 64:	 1017 
kol 65:	 1018 
kol 66:	 1019 
kol 67:	 102 
kol 68:	 1020 
kol 69:	 1021 
kol 70:	 1022 
kol 71:	 1022är 
kol 72:	 1023 
kol 73:	 103 
kol 74:	 1031 
kol 75:	 1032 
kol 76:	 10329348 
kol 77:	 1033 
kol 78:	 1034 
kol 79:	 1035 
kol 80:	 1036 
kol 81:	 1037 
kol 82:	 104 
kol 83:	 105 
kol 84:	 106 
kol 85:	 107 
kol 86:	 108 
kol 87:	 108161 
kol 88:	 109 
kol 89:	 10årsperiod 
kol 90:	 11 
kol 91:	 110 
kol 92:	 110275280 
kol 93:	 111 
kol 94:	 1110 
kol 95:	 111126 
kol 96:	 1112 
kol 97:	 1113 
kol 98:	 1114 
kol 99:	 112 
kol 100:	 113 
kol 101:	 114 
kol 102:	 1141 
kol 103:	 115 
kol 104:	 116 
kol 105:	 117 
kol 106:	 118 
kol 107:	 119 
kol 108:	 119141 
kol 109:	 12 
kol 110:	 120 
kol 111:	 1200 
kol 112:	 12000 
kol 113:	 121 
kol 114:	 1210 
kol 115:	 1211 
kol 116:	 1212 
kol 117:	 122 
kol 118:	 123 
kol 119:	 123130 
kol 120:	 123600 
kol 121:	 124 
kol 122:	 125 
kol 123:	 1250 
kol 124:	 125vl28 
kol 125:	 126 
kol 126:	 1269 
kol 127:	 127 
kol 128:	 128 
kol 129:	 129 
kol 130:	 13 
kol 131:	 130 
kol 132:	 131 
kol 133:	 132 
kol 134:	 133 
kol 135:	 134 
kol 136:	 135 
kol 137:	 135237 
kol 138:	 136 
kol 139:	 137 
kol 140:	 138 
kol 141:	 138165 
kol 142:	 14 
kol 143:	 140 
kol 144:	 141 
kol 145:	 1410 
kol 146:	 1411 
kol 147:	 1412 
kol 148:	 1413 
kol 149:	 1414 
kol 150:	 1415 
kol 151:	 14150173 
kol 152:	 1416 
kol 153:	 142 
kol 154:	 1421 
kol 155:	 142188 
kol 156:	 1422 
kol 157:	 1423 
kol 158:	 1424 
kol 159:	 1425 
kol 160:	 1426 
kol 161:	 1427 
kol 162:	 143 
kol 163:	 144 
kol 164:	 145 
kol 165:	 146 
kol 166:	 147 
kol 167:	 148 
kol 168:	 149 
kol 169:	 15 
kol 170:	 150 
kol 171:	 1500 
kol 172:	 15000 
kol 173:	 150200fat 
