-----RADER:----- 
rad 1:	1. Första Mosebok (Genesis) 
rad 2:	2. Andra Mosebok (Exodus) 
rad 3:	3. Tredje Mosebok (Leviticus) 
rad 4:	4. Fjärde Mosebok (Numeri) 
rad 5:	5. Femte Mosebok (Deuteronomium) 
rad 6:	6. Josua 
rad 7:	7. Domarboken 
rad 8:	8. Rut 
rad 9:	9. Första Samuelsboken 
rad 10:	10. Andra Samuelsboken 
rad 11:	11. Första Konungaboken 
rad 12:	12. Andra Konungaboken 
rad 13:	13. Första Krönikeboken 
rad 14:	14. Andra Krönikeboken 
rad 15:	15. Esra 
rad 16:	16. Nehemja 
rad 17:	17. Ester 
rad 18:	18. Job 
rad 19:	19. Psaltaren 
rad 20:	20. Ordspråksboken 
rad 21:	21. Predikaren 
rad 22:	22. Höga Visan 
rad 23:	23. Jesaja 
rad 24:	24. Jeremia 
rad 25:	25. Klagovisorna 
rad 26:	26. Hesekiel 
rad 27:	27. Daniel 
rad 28:	28. Hosea 
rad 29:	29. Joel 
rad 30:	30. Amos 
rad 31:	31. Obadja 
rad 32:	32. Jona 
rad 33:	33. Mika 
rad 34:	34. Nahum 
rad 35:	35. Habackuk 
rad 36:	36. Sefanja 
rad 37:	37. Haggai 
rad 38:	38. Sakarja 
rad 39:	39. Malaki 
rad 40:	40. Evangelium enligt Matteus 
rad 41:	41. Evangelium enligt Markus 
rad 42:	42. Evangelium enligt Lukas 
rad 43:	43. Evangelium enligt Johannes 
rad 44:	44. Apostlagärningarna 
rad 45:	45. Paulus' brev till romarna 
rad 46:	46. Paulus' första brev till korintierna 
rad 47:	47. Paulus' andra brev till korintierna 
rad 48:	48. Paulus' brev till galaterna 
rad 49:	49. Paulus' brev till efesierna 
rad 50:	50. Paulus' brev till filipperna 
rad 51:	51. Paulus' brev till kolosserna 
rad 52:	52. Paulus' första brev till tessalonikerna 
rad 53:	53. Paulus' andra brev till tessalonikerna 
rad 54:	54. Paulus' första brev till Timoteus 
rad 55:	55. Paulus' andra brev till Timoteus 
rad 56:	56. Paulus' brev till Titus 
rad 57:	57. Paulus' brev till Filemon 
rad 58:	58. Brevet till hebréerna 
rad 59:	59. Petrus' första brev 
rad 60:	60. Petrus' andra brev 
rad 61:	61. Johannes' första brev 
rad 62:	62. Johannes' andra brev 
rad 63:	63. Johannes' tredje brev 
rad 64:	64. Jakobs' brev 
rad 65:	65. Judas' brev 
rad 66:	66. Johannes' uppenbarelse 


---KOLONNER:--- 
kol 1:	 001001 
kol 2:	 001002 
kol 3:	 001003 
kol 4:	 001004 
kol 5:	 001005 
kol 6:	 001006 
kol 7:	 001007 
kol 8:	 001008 
kol 9:	 001009 
kol 10:	 001010 
kol 11:	 001011 
kol 12:	 001012 
kol 13:	 001013 
kol 14:	 001013hanna 
kol 15:	 001014 
kol 16:	 001015 
kol 17:	 001016 
kol 18:	 001017 
kol 19:	 001018 
kol 20:	 001019 
kol 21:	 001020 
kol 22:	 001021 
kol 23:	 001022 
kol 24:	 001023 
kol 25:	 001024 
kol 26:	 001025 
kol 27:	 001026 
kol 28:	 001027 
kol 29:	 001028 
kol 30:	 001029 
kol 31:	 001030 
kol 32:	 001031 
kol 33:	 001032 
kol 34:	 001033 
kol 35:	 001034 
kol 36:	 001035 
kol 37:	 001036 
kol 38:	 001037 
kol 39:	 001038 
kol 40:	 001039 
kol 41:	 001040 
kol 42:	 001041 
kol 43:	 001042 
kol 44:	 001043 
kol 45:	 001044 
kol 46:	 001045 
kol 47:	 001046 
kol 48:	 001047 
kol 49:	 001048 
kol 50:	 001049 
kol 51:	 001050 
kol 52:	 001051 
kol 53:	 001052 
kol 54:	 001053 
kol 55:	 001054 
kol 56:	 001055 
kol 57:	 001056 
kol 58:	 001057 
kol 59:	 001058 
kol 60:	 001059 
kol 61:	 001060 
kol 62:	 001061 
kol 63:	 001062 
kol 64:	 001063 
kol 65:	 001064 
kol 66:	 001065 
kol 67:	 001066 
kol 68:	 001067 
kol 69:	 001068 
kol 70:	 001069 
kol 71:	 001070 
kol 72:	 001071 
kol 73:	 001072 
kol 74:	 001073 
kol 75:	 001074 
kol 76:	 001075 
kol 77:	 001076 
kol 78:	 001077 
kol 79:	 001078 
kol 80:	 001079 
kol 81:	 001080 
kol 82:	 002001 
kol 83:	 002002 
kol 84:	 002003 
kol 85:	 002004 
kol 86:	 002005 
kol 87:	 002006 
kol 88:	 002007 
kol 89:	 002008 
kol 90:	 002009 
kol 91:	 002010 
kol 92:	 002011 
kol 93:	 002012 
kol 94:	 002013 
kol 95:	 002014 
kol 96:	 002015 
kol 97:	 002016 
kol 98:	 002017 
kol 99:	 002018 
kol 100:	 002019 
kol 101:	 002020 
kol 102:	 002021 
kol 103:	 002022 
kol 104:	 002023 
kol 105:	 002024 
kol 106:	 002025 
kol 107:	 002026 
kol 108:	 002027 
kol 109:	 002028 
kol 110:	 002029 
kol 111:	 002029detsamma 
kol 112:	 002030 
kol 113:	 002031 
kol 114:	 002032 
kol 115:	 002033 
kol 116:	 002034 
kol 117:	 002035 
kol 118:	 002036 
kol 119:	 002037 
kol 120:	 002038 
kol 121:	 002039 
kol 122:	 002040 
kol 123:	 002041 
kol 124:	 002042 
kol 125:	 002043 
kol 126:	 002044 
kol 127:	 002045 
kol 128:	 002046 
kol 129:	 002047 
kol 130:	 002048 
kol 131:	 002049 
kol 132:	 002050 
kol 133:	 002051 
kol 134:	 002052 
kol 135:	 002053 
kol 136:	 002054 
kol 137:	 002055 
kol 138:	 002056 
kol 139:	 002057 
kol 140:	 002058 
kol 141:	 002059 
kol 142:	 002060 
kol 143:	 002061 
kol 144:	 002062 
kol 145:	 002063 
kol 146:	 002064 
kol 147:	 002065 
kol 148:	 002066 
kol 149:	 002067 
kol 150:	 002068 
kol 151:	 002069 
kol 152:	 002070 
kol 153:	 003001 
kol 154:	 003002 
kol 155:	 003003 
kol 156:	 003004 
kol 157:	 003004låten 
kol 158:	 003005 
kol 159:	 003006 
kol 160:	 003007 
kol 161:	 003008 
kol 162:	 003009 
kol 163:	 003010 
kol 164:	 003011 
kol 165:	 003012 
kol 166:	 003013 
kol 167:	 003014 
kol 168:	 003015 
kol 169:	 003016 
kol 170:	 003017 
kol 171:	 003018 
kol 172:	 003019 
kol 173:	 003020 
kol 174:	 003021 
kol 175:	 003022 
kol 176:	 003023 
kol 177:	 003024 
kol 178:	 003025 
kol 179:	 003026 
kol 180:	 003027 
kol 181:	 003028 
kol 182:	 003029 
kol 183:	 003030 
kol 184:	 003031 
kol 185:	 003032 
kol 186:	 003033 
kol 187:	 003034 
kol 188:	 003035 
kol 189:	 003036 
kol 190:	 003037 
kol 191:	 003038 
kol 192:	 003039 
kol 193:	 003040 
kol 194:	 003041 
kol 195:	 003042 
kol 196:	 003043 
kol 197:	 003044 
kol 198:	 003045 
kol 199:	 003046 
kol 200:	 003047 
kol 201:	 003048 
kol 202:	 003049 
kol 203:	 003050 
kol 204:	 003051 
kol 205:	 003052 
kol 206:	 003053 
kol 207:	 003054 
kol 208:	 003055 
kol 209:	 003056 
kol 210:	 003057 
kol 211:	 003058 
kol 212:	 003059 
kol 213:	 003060 
kol 214:	 003061 
kol 215:	 003062 
kol 216:	 003063 
kol 217:	 003064 
kol 218:	 003065 
kol 219:	 003066 
kol 220:	 004001 
kol 221:	 004002 
kol 222:	 004003 
kol 223:	 004004 
kol 224:	 004005 
kol 225:	 004006 
kol 226:	 004007 
kol 227:	 004008 
kol 228:	 004009 
kol 229:	 004010 
kol 230:	 004011 
kol 231:	 004012 
kol 232:	 004013 
kol 233:	 004014 
kol 234:	 004015 
kol 235:	 004016 
kol 236:	 004017 
kol 237:	 004018 
kol 238:	 004019 
kol 239:	 004020 
kol 240:	 004021 
kol 241:	 004022 
kol 242:	 004023 
kol 243:	 004024 
kol 244:	 004025 
kol 245:	 004026 
kol 246:	 004027 
kol 247:	 004028 
kol 248:	 004029 
kol 249:	 004030 
kol 250:	 004031 
kol 251:	 004032 
kol 252:	 004033 
kol 253:	 004034 
kol 254:	 004035 
kol 255:	 004036 
kol 256:	 004037 
kol 257:	 004038 
kol 258:	 004039 
kol 259:	 004040 
kol 260:	 004041 
kol 261:	 004042 
kol 262:	 004043 
kol 263:	 004044 
kol 264:	 004045 
kol 265:	 004046 
kol 266:	 004047 
kol 267:	 004048 
kol 268:	 004049 
kol 269:	 004050 
kol 270:	 004051 
kol 271:	 004052 
kol 272:	 004053 
kol 273:	 004054 
kol 274:	 005001 
kol 275:	 005002 
kol 276:	 005002genom 
kol 277:	 005003 
kol 278:	 005004 
kol 279:	 005005 
kol 280:	 005006 
kol 281:	 005007 
kol 282:	 005008 
kol 283:	 005009 
kol 284:	 005010 
kol 285:	 005011 
kol 286:	 005012 
kol 287:	 005013 
kol 288:	 005014 
kol 289:	 005015 
kol 290:	 005016 
kol 291:	 005017 
kol 292:	 005018 
kol 293:	 005019 
kol 294:	 005020 
kol 295:	 005021 
kol 296:	 005022 
kol 297:	 005023 
kol 298:	 005024 
kol 299:	 005025 
kol 300:	 005026 
kol 301:	 005027 
kol 302:	 005028 
kol 303:	 005029 
kol 304:	 005030 
kol 305:	 005031 
kol 306:	 005032 
kol 307:	 005033 
kol 308:	 005034 
kol 309:	 005035 
kol 310:	 005036 
kol 311:	 005037 
kol 312:	 005038 
kol 313:	 005039 
kol 314:	 005040 
kol 315:	 005041 
kol 316:	 005042 
kol 317:	 005043 
kol 318:	 005044 
kol 319:	 005045 
kol 320:	 005046 
kol 321:	 005047 
kol 322:	 005048 
kol 323:	 006001 
kol 324:	 006002 
kol 325:	 006003 
kol 326:	 006004 
kol 327:	 006005 
kol 328:	 006006 
kol 329:	 006007 
kol 330:	 006008 
kol 331:	 006009 
kol 332:	 006010 
kol 333:	 006011 
kol 334:	 006012 
kol 335:	 006013 
kol 336:	 006014 
kol 337:	 006015 
kol 338:	 006016 
kol 339:	 006017 
kol 340:	 006018 
kol 341:	 006019 
kol 342:	 006020 
kol 343:	 006021 
kol 344:	 006022 
kol 345:	 006023 
kol 346:	 006024 
kol 347:	 006025 
kol 348:	 006026 
kol 349:	 006027 
kol 350:	 006028 
kol 351:	 006029 
kol 352:	 006030 
kol 353:	 006031 
kol 354:	 006032 
kol 355:	 006033 
kol 356:	 006034 
kol 357:	 006035 
kol 358:	 006036 
kol 359:	 006037 
kol 360:	 006038 
kol 361:	 006039 
kol 362:	 006040 
kol 363:	 006041 
kol 364:	 006042 
kol 365:	 006043 
kol 366:	 006044 
kol 367:	 006045 
kol 368:	 006046 
kol 369:	 006047 
kol 370:	 006048 
kol 371:	 006049 
kol 372:	 006050 
kol 373:	 006051 
kol 374:	 006052 
kol 375:	 006053 
kol 376:	 006054 
kol 377:	 006055 
kol 378:	 006056 
kol 379:	 006057 
kol 380:	 006058 
kol 381:	 006059 
kol 382:	 006060 
kol 383:	 006061 
kol 384:	 006062 
kol 385:	 006063 
kol 386:	 006064 
kol 387:	 006065 
kol 388:	 006066 
kol 389:	 006067 
kol 390:	 006068 
kol 391:	 006069 
kol 392:	 006070 
kol 393:	 006071 
kol 394:	 006072 
kol 395:	 006073 
kol 396:	 006074 
kol 397:	 006075 
kol 398:	 006076 
kol 399:	 006077 
kol 400:	 006078 
kol 401:	 006079 
kol 402:	 006080 
kol 403:	 006081 
kol 404:	 007001 
kol 405:	 007002 
kol 406:	 007003 
kol 407:	 007004 
kol 408:	 007005 
kol 409:	 007006 
kol 410:	 007007 
kol 411:	 007008 
kol 412:	 007009 
kol 413:	 007010 
kol 414:	 007011 
kol 415:	 007012 
kol 416:	 007013 
kol 417:	 007014 
kol 418:	 007015 
kol 419:	 007016 
kol 420:	 007017 
kol 421:	 007018 
kol 422:	 007019 
kol 423:	 007020 
kol 424:	 007021 
kol 425:	 007022 
kol 426:	 007023 
kol 427:	 007024 
kol 428:	 007025 
kol 429:	 007026 
kol 430:	 007027 
kol 431:	 007028 
kol 432:	 007029 
kol 433:	 007030 
kol 434:	 007031 
kol 435:	 007032 
kol 436:	 007033 
kol 437:	 007034 
kol 438:	 007035 
kol 439:	 007036 
kol 440:	 007037 
kol 441:	 007038 
kol 442:	 007039 
kol 443:	 007040 
kol 444:	 007041 
kol 445:	 007042 
kol 446:	 007043 
kol 447:	 007044 
kol 448:	 007045 
kol 449:	 007046 
kol 450:	 007047 
kol 451:	 007048 
kol 452:	 007049 
kol 453:	 007050 
kol 454:	 007051 
kol 455:	 007052 
kol 456:	 007053 
kol 457:	 007054 
kol 458:	 007055 
kol 459:	 007056 
kol 460:	 007057 
kol 461:	 007058 
kol 462:	 007059 
kol 463:	 007060 
kol 464:	 007061 
kol 465:	 007062 
kol 466:	 007063 
kol 467:	 007064 
kol 468:	 007065 
kol 469:	 007066 
kol 470:	 007067 
kol 471:	 007068 
kol 472:	 007069 
kol 473:	 007070 
kol 474:	 007071 
kol 475:	 007072 
kol 476:	 007073 
kol 477:	 007074 
kol 478:	 007075 
kol 479:	 007076 
kol 480:	 007077 
kol 481:	 007078 
kol 482:	 007079 
kol 483:	 007080 
kol 484:	 007081 
kol 485:	 007082 
kol 486:	 007083 
kol 487:	 007084 
kol 488:	 007085 
kol 489:	 007086 
kol 490:	 007087 
kol 491:	 007088 
kol 492:	 007089 
kol 493:	 008001 
kol 494:	 008002 
kol 495:	 008003 
kol 496:	 008004 
kol 497:	 008005 
kol 498:	 008006 
kol 499:	 008007 
kol 500:	 008008 
kol 501:	 008009 
kol 502:	 008010 
kol 503:	 008011 
kol 504:	 008012 
kol 505:	 008013 
kol 506:	 008014 
kol 507:	 008015 
kol 508:	 008016 
kol 509:	 008017 
kol 510:	 008018 
kol 511:	 008019 
kol 512:	 008020 
kol 513:	 008021 
kol 514:	 008022 
kol 515:	 008023 
kol 516:	 008024 
kol 517:	 008025 
kol 518:	 008026 
kol 519:	 008027 
kol 520:	 008028 
kol 521:	 008029 
kol 522:	 008030 
kol 523:	 008031 
kol 524:	 008032 
kol 525:	 008033 
kol 526:	 008034 
kol 527:	 008035 
kol 528:	 008036 
kol 529:	 008037 
kol 530:	 008038 
kol 531:	 008039 
kol 532:	 008040 
kol 533:	 008041 
kol 534:	 008042 
kol 535:	 008042ty 
kol 536:	 008043 
kol 537:	 008044 
kol 538:	 008045 
kol 539:	 008046 
kol 540:	 008047 
kol 541:	 008048 
kol 542:	 008049 
kol 543:	 008050 
kol 544:	 008051 
kol 545:	 008052 
kol 546:	 008053 
kol 547:	 008054 
kol 548:	 008055 
kol 549:	 008056 
kol 550:	 008057 
kol 551:	 008058 
kol 552:	 008059 
kol 553:	 008060 
kol 554:	 008061 
kol 555:	 008062 
kol 556:	 008063 
kol 557:	 008064 
kol 558:	 008065 
kol 559:	 008066 
kol 560:	 009001 
kol 561:	 009002 
kol 562:	 009003 
kol 563:	 009004 
kol 564:	 009005 
kol 565:	 009006 
kol 566:	 009007 
kol 567:	 009008 
kol 568:	 009009 
kol 569:	 009010 
kol 570:	 009011 
kol 571:	 009012 
kol 572:	 009013 
kol 573:	 009014 
kol 574:	 009015 
kol 575:	 009016 
kol 576:	 009017 
kol 577:	 009018 
kol 578:	 009019 
kol 579:	 009020 
kol 580:	 009021 
kol 581:	 009022 
kol 582:	 009023 
kol 583:	 009024 
kol 584:	 009025 
kol 585:	 009026 
kol 586:	 009027 
kol 587:	 009028 
kol 588:	 009029 
kol 589:	 009030 
kol 590:	 009031 
kol 591:	 009032 
kol 592:	 009033 
kol 593:	 009034 
kol 594:	 009035 
kol 595:	 009036 
kol 596:	 009037 
kol 597:	 009038 
kol 598:	 009039 
kol 599:	 009040 
kol 600:	 009041 
kol 601:	 009042 
kol 602:	 009043 
kol 603:	 009044 
kol 604:	 009045 
kol 605:	 009046 
kol 606:	 009047 
kol 607:	 009048 
kol 608:	 009049 
kol 609:	 009050 
kol 610:	 009051 
kol 611:	 009052 
kol 612:	 009053 
kol 613:	 009054 
kol 614:	 009055 
kol 615:	 009056 
kol 616:	 009057 
kol 617:	 009058 
kol 618:	 009059 
kol 619:	 009060 
kol 620:	 009061 
kol 621:	 009062 
kol 622:	 010001 
kol 623:	 010002 
kol 624:	 010003 
kol 625:	 010004 
kol 626:	 010005 
kol 627:	 010006 
kol 628:	 010007 
kol 629:	 010008 
kol 630:	 010009 
kol 631:	 010010 
kol 632:	 010011 
kol 633:	 010012 
kol 634:	 010013 
kol 635:	 010014 
kol 636:	 010015 
kol 637:	 010016 
kol 638:	 010017 
kol 639:	 010018 
kol 640:	 010019 
kol 641:	 010020 
kol 642:	 010021 
kol 643:	 010022 
kol 644:	 010023 
kol 645:	 010024 
kol 646:	 010025 
kol 647:	 010026 
kol 648:	 010027 
kol 649:	 010028 
kol 650:	 010029 
kol 651:	 010030 
kol 652:	 010031 
kol 653:	 010032 
kol 654:	 010033 
kol 655:	 010034 
kol 656:	 010035 
kol 657:	 010036 
kol 658:	 010037 
kol 659:	 010038 
kol 660:	 010039 
kol 661:	 010040 
kol 662:	 010041 
kol 663:	 010042 
kol 664:	 010043 
kol 665:	 010044 
kol 666:	 010045 
kol 667:	 010046 
kol 668:	 010047 
kol 669:	 010048 
kol 670:	 010049 
kol 671:	 010050 
kol 672:	 010051 
kol 673:	 010052 
kol 674:	 011001 
kol 675:	 011002 
kol 676:	 011003 
kol 677:	 011004 
kol 678:	 011005 
kol 679:	 011006 
kol 680:	 011007 
kol 681:	 011008 
kol 682:	 011009 
kol 683:	 011010 
kol 684:	 011011 
kol 685:	 011012 
kol 686:	 011013 
kol 687:	 011014 
kol 688:	 011015 
kol 689:	 011016 
kol 690:	 011016ty 
kol 691:	 011017 
kol 692:	 011018 
kol 693:	 011019 
kol 694:	 011020 
kol 695:	 011021 
kol 696:	 011022 
kol 697:	 011023 
kol 698:	 011024 
kol 699:	 011025 
kol 700:	 011026 
kol 701:	 011027 
kol 702:	 011028 
kol 703:	 011029 
kol 704:	 011030 
kol 705:	 011031 
kol 706:	 011032 
kol 707:	 011033 
kol 708:	 011034 
kol 709:	 011035 
kol 710:	 011036 
kol 711:	 011037 
kol 712:	 011038 
kol 713:	 011039 
kol 714:	 011040 
kol 715:	 011041 
kol 716:	 011042 
kol 717:	 011043 
kol 718:	 011044 
kol 719:	 011045 
kol 720:	 011046 
kol 721:	 011047 
kol 722:	 011048 
kol 723:	 011049 
kol 724:	 011050 
kol 725:	 011051 
kol 726:	 011052 
kol 727:	 011053 
kol 728:	 011054 
kol 729:	 011055 
kol 730:	 011056 
kol 731:	 011057 
kol 732:	 012001 
kol 733:	 012002 
kol 734:	 012003 
kol 735:	 012004 
kol 736:	 012005 
kol 737:	 012006 
kol 738:	 012007 
kol 739:	 012008 
kol 740:	 012009 
kol 741:	 012010 
kol 742:	 012011 
kol 743:	 012012 
kol 744:	 012013 
kol 745:	 012014 
kol 746:	 012015 
kol 747:	 012016 
kol 748:	 012017 
kol 749:	 012018 
kol 750:	 012019 
kol 751:	 012020 
kol 752:	 012021 
kol 753:	 012022 
kol 754:	 012023 
kol 755:	 012024 
kol 756:	 012025 
kol 757:	 012026 
kol 758:	 012027 
kol 759:	 012028 
kol 760:	 012029 
kol 761:	 012030 
kol 762:	 012031 
kol 763:	 012032 
kol 764:	 012033 
kol 765:	 012034 
kol 766:	 012035 
kol 767:	 012036 
kol 768:	 012037 
kol 769:	 012038 
kol 770:	 012039 
kol 771:	 012040 
kol 772:	 012041 
kol 773:	 012042 
kol 774:	 012043 
kol 775:	 012044 
kol 776:	 012045 
kol 777:	 012046 
kol 778:	 012047 
kol 779:	 012048 
kol 780:	 012049 
kol 781:	 012050 
kol 782:	 012051 
kol 783:	 012052 
kol 784:	 012053 
kol 785:	 012054 
kol 786:	 012055 
kol 787:	 012056 
kol 788:	 012057 
kol 789:	 012058 
kol 790:	 012059 
kol 791:	 013001 
kol 792:	 013002 
kol 793:	 013003 
kol 794:	 013004 
kol 795:	 013005 
kol 796:	 013006 
